season,week,is_playoff,is_neutral,home_completion_pct,home_passing_yds_pg,home_passing_tds_pg,home_passing_cpoe,home_sacks_pg,home_carries_pg,home_rushing_yds_pg,home_rushing_tds_pg,home_rushing_epa_pg,home_targets_pg,home_receiving_yds_pg,home_receiving_tds_pg,home_receiving_epa_pg,home_turnovers_pg,home_penalty_yds_pg,home_dst_tds_pg,home_passing_yds_allowed_pg,home_passing_tds_allowed_pg,home_rushing_yds_allowed_pg,home_rushing_tds_allowed_pg,home_receiving_yds_allowed_pg,home_receiving_tds_allowed_pg,away_completion_pct,away_passing_yds_pg,away_passing_tds_pg,away_passing_cpoe,away_sacks_pg,away_carries_pg,away_rushing_yds_pg,away_rushing_tds_pg,away_rushing_epa_pg,away_targets_pg,away_receiving_yds_pg,away_receiving_tds_pg,away_receiving_epa_pg,away_turnovers_pg,away_penalty_yds_pg,away_dst_tds_pg,away_passing_yds_allowed_pg,away_passing_tds_allowed_pg,away_rushing_yds_allowed_pg,away_rushing_tds_allowed_pg,away_receiving_yds_allowed_pg,away_receiving_tds_allowed_pg,home_spread_covered,home_win,home_rest,away_rest,spread
2015,2,0,0,0.6923076923076923,336.0,1.0,-0.8756378522286048,0.0,16.0,63.0,2.0,0.7864389043278792,52.0,336.0,1.0,4.6140134039115726,2.0,88.0,0.0,298.0,2.0,105.0,0.0,298.0,2.0,0.8,356.0,3.0,8.768242928716871,0.0,23.0,80.0,0.0,-2.4281808514497243,45.0,356.0,3.0,-0.3628635427085438,3.0,35.0,0.0,189.0,0.0,99.0,1.0,189.0,0.0,0,0,6,7,7.0
2015,2,0,0,0.782608695652174,189.0,3.0,19.940839436921205,0.0,30.0,133.0,1.0,4.8055900336185005,23.0,189.0,3.0,13.389673574519138,0.0,74.0,0.0,225.0,1.0,189.0,1.0,225.0,1.0,0.7804878048780488,251.0,1.0,8.535313315507842,6.0,32.0,124.0,0.0,1.0836553452392108,41.0,251.0,1.0,-0.3931061229371622,1.0,46.0,1.0,297.0,1.0,76.0,2.0,297.0,1.0,2,1,7,7,3.5
2015,2,0,0,0.5306122448979592,243.0,2.0,-7.125826849012959,2.0,17.0,64.0,0.0,1.7665651600109413,49.0,243.0,2.0,4.592175612070451,2.0,49.0,0.0,195.0,1.0,147.0,2.0,195.0,1.0,0.625,179.0,2.0,3.724374994635582,0.0,36.0,154.0,2.0,-5.622557043185225,24.0,179.0,2.0,10.326020823814726,1.0,30.0,0.0,231.0,1.0,104.0,0.0,231.0,1.0,0,0,8,8,6.0
2015,3,0,0,0.618421052631579,240.5,1.0,-2.247183607383208,1.5,23.5,98.0,0.5,-1.0667222599877277,36.5,240.5,1.0,8.448858866027713,0.5,39.5,0.0,359.5,2.0,68.0,1.0,359.5,2.0,0.7586206896551724,199.5,1.0,9.7981843469818,1.5,37.0,171.5,1.0,-3.081603431164784,29.0,199.5,1.0,5.436164530367741,1.5,70.5,0.0,188.0,1.0,70.5,0.0,188.0,1.0,2,1,4,4,3.0
2015,3,0,0,0.6493506493506493,250.5,1.0,1.366072698599762,1.0,24.0,91.0,0.5,0.12391294405496822,38.5,250.5,1.0,-0.8781268885909101,2.0,62.0,0.5,263.0,1.5,83.0,0.5,263.0,1.5,0.6833333333333333,241.5,2.5,7.565108865645586,0.0,33.5,151.0,1.0,-5.009085557612707,29.0,241.5,2.5,12.32778844760442,1.0,62.5,0.0,222.0,2.0,97.0,0.0,222.0,2.0,0,0,7,7,2.5
2015,3,0,0,0.5294117647058824,185.0,1.5,-9.327354776464345,2.0,34.0,138.5,0.5,-1.1672512462017888,34.0,185.0,1.5,-0.5571342846941287,1.0,57.0,0.5,213.5,1.0,78.5,0.5,213.5,1.0,0.627906976744186,305.0,1.0,-5.940717787138725,3.0,23.5,79.0,1.0,-0.7966283494315576,43.0,305.0,1.0,-0.5150870756019634,2.0,94.0,0.0,257.0,2.0,129.5,1.0,257.0,2.0,0,1,7,7,10.0
2015,3,0,0,0.7721518987341772,312.0,2.0,7.754236011723288,1.5,28.0,94.5,0.0,-3.7842246826621704,39.5,312.0,2.0,2.85175310784634,2.5,88.5,0.5,206.5,0.5,53.0,0.5,206.5,0.5,0.6625,330.5,1.5,0.37890164862813236,1.5,28.5,80.5,1.0,-5.153735650308658,40.0,330.5,1.5,11.851449409154966,1.0,61.0,0.0,314.0,1.5,80.0,1.0,314.0,1.5,0,0,7,7,1.0
2015,3,0,0,0.5047619047619047,289.0,1.5,-12.256212313719873,3.0,22.0,79.5,0.5,-2.348318939009914,51.5,289.0,1.5,-1.6302254668134482,1.5,54.5,0.0,219.0,2.5,134.5,0.5,219.0,2.5,0.5555555555555556,208.5,1.5,-4.173191446504552,3.5,30.5,115.5,0.5,-6.765735232184041,27.0,208.5,1.5,1.345763718312738,2.0,93.5,0.0,232.0,2.5,114.0,1.5,232.0,2.5,2,1,7,7,6.0
2015,3,0,0,0.6923076923076923,377.0,3.5,7.130828730256881,2.0,19.5,68.0,0.5,0.8739580527601432,45.5,377.0,3.5,15.45399722745849,1.0,91.5,0.0,296.5,2.0,147.0,1.5,296.5,2.0,0.547945205479452,228.0,1.5,-6.988692855015223,2.5,27.0,109.5,0.0,-2.897801848259402,36.0,228.0,1.5,-3.0396813334730513,1.5,59.0,0.0,267.0,1.5,73.5,0.0,267.0,1.5,2,1,7,7,14.5
2015,3,0,0,0.6379310344827587,211.5,2.0,3.835530611960327,0.5,31.5,127.5,1.0,-5.871642091481129,29.0,211.5,2.0,8.414205656287884,1.0,60.0,0.0,240.5,1.0,98.5,0.0,240.5,1.0,0.6629213483146067,280.0,1.0,-3.989163982892978,0.5,16.5,35.0,1.0,-5.676828214634988,44.5,280.0,1.0,-1.1195306144394062,2.5,74.0,0.0,283.0,1.5,107.0,0.0,283.0,1.5,0,0,6,7,3.0
